root - INFO - CSV file initialized.
root - INFO - Cannot read from camera
root - INFO - Live video processing ended.
root - INFO - CSV file closed.
root - INFO - CSV file initialized.
root - INFO - Frame 134: Aruco ID 1 detected with distance 2.290213293780331, yaw angle -5.753346424383835, pitch angle 86.94783446536626, roll angle 13.118176393516933.
root - INFO - Frame 135: Aruco ID 1 detected with distance 2.2523096381241086, yaw angle -5.7491639091443005, pitch angle 84.37159922356892, roll angle -27.385499613354494.
root - INFO - Frame 136: Aruco ID 1 detected with distance 2.3659666099344796, yaw angle -5.7593126566517014, pitch angle 85.11700813564262, roll angle -21.52186078722633.
root - INFO - Frame 142: Aruco ID 1 detected with distance 2.4122737672237102, yaw angle -5.73073239015423, pitch angle 90.35136633540662, roll angle -8.414362495550682.
root - INFO - Frame 143: Aruco ID 1 detected with distance 2.376343649977923, yaw angle -5.760887224355088, pitch angle 89.46432316955094, roll angle 9.031287387293656.
root - INFO - Frame 144: Aruco ID 1 detected with distance 2.4602263568134415, yaw angle -5.7327468171658325, pitch angle 89.53142536124605, roll angle -0.38421647423292166.
root - INFO - Frame 145: Aruco ID 1 detected with distance 2.4162165553057986, yaw angle -5.732701115152054, pitch angle 92.69949310136164, roll angle 8.275404242388344.
root - INFO - Frame 146: Aruco ID 1 detected with distance 2.3055311211902545, yaw angle -5.714899493434245, pitch angle 90.27915639880506, roll angle 16.967144810727348.
root - INFO - Frame 148: Aruco ID 1 detected with distance 2.267551657468872, yaw angle -5.620791337920167, pitch angle 91.38982048724928, roll angle 14.221431974788683.
root - INFO - Frame 149: Aruco ID 1 detected with distance 2.2643915099026155, yaw angle -5.564392384818603, pitch angle 91.03725780473964, roll angle 14.737745791020869.
root - INFO - Frame 150: Aruco ID 1 detected with distance 2.2640002558071086, yaw angle -5.535934614062512, pitch angle 89.78492301728211, roll angle 12.263815616131597.
root - INFO - Frame 151: Aruco ID 1 detected with distance 2.365833601280874, yaw angle -5.535720557826835, pitch angle 91.15305973891584, roll angle 9.584077204355324.
root - INFO - Frame 152: Aruco ID 1 detected with distance 2.432263784856214, yaw angle -5.506208069688483, pitch angle 90.09736948332042, roll angle -6.795501518332318.
root - INFO - Frame 153: Aruco ID 1 detected with distance 2.3340928384565487, yaw angle -5.507351345700755, pitch angle 90.97620048587652, roll angle 8.938026137294374.
root - INFO - Frame 154: Aruco ID 1 detected with distance 2.3681926154225814, yaw angle -5.460284367526953, pitch angle 91.87765184738683, roll angle 9.123195915375222.
root - INFO - Frame 155: Aruco ID 1 detected with distance 2.225977241918093, yaw angle -5.418789854684832, pitch angle 86.86397973669024, roll angle -26.314466889349106.
root - INFO - Frame 156: Aruco ID 1 detected with distance 2.331582600205309, yaw angle -5.4222322707514365, pitch angle 89.62804643550203, roll angle 5.468710893522535.
root - INFO - Frame 157: Aruco ID 1 detected with distance 2.290519439792815, yaw angle -5.412858293447954, pitch angle 90.91944113201266, roll angle 5.807644955650819.
root - INFO - Frame 158: Aruco ID 1 detected with distance 2.330823223407662, yaw angle -5.403375292554841, pitch angle 91.45604557778316, roll angle 5.246201442936046.
root - INFO - Frame 159: Aruco ID 1 detected with distance 2.326168400645179, yaw angle -5.403410033323354, pitch angle 91.8753692202683, roll angle 5.604339179623201.
root - INFO - Frame 160: Aruco ID 1 detected with distance 2.332743964786826, yaw angle -5.413234455169203, pitch angle 90.54417039629033, roll angle 9.305051046293082.
root - INFO - Frame 161: Aruco ID 1 detected with distance 2.290519439792815, yaw angle -5.412858293447954, pitch angle 90.91944113201266, roll angle 5.807644955650819.
root - INFO - Frame 162: Aruco ID 1 detected with distance 2.3657546362773214, yaw angle -5.412837740184642, pitch angle 91.90862069372638, roll angle 5.314876860552207.
root - INFO - Frame 163: Aruco ID 1 detected with distance 2.319457167264498, yaw angle -5.404178879064602, pitch angle 87.5518240864662, roll angle 13.48286341443409.
root - INFO - Frame 164: Aruco ID 1 detected with distance 2.3646042254869335, yaw angle -5.40275829503571, pitch angle 91.00761632955114, roll angle -0.5703251839394062.
root - INFO - Frame 165: Aruco ID 1 detected with distance 2.2926471454518196, yaw angle -5.394646545712618, pitch angle 86.96520433941937, roll angle 12.920410468340632.
root - INFO - Frame 166: Aruco ID 1 detected with distance 2.2964915129534456, yaw angle -5.381743442347329, pitch angle 86.81676524792071, roll angle -20.453155798654677.
root - INFO - Frame 167: Aruco ID 1 detected with distance 2.33104510200025, yaw angle -5.394352645832015, pitch angle 90.5318960635714, roll angle 9.307330650421392.
root - INFO - Frame 168: Aruco ID 1 detected with distance 2.367050671282085, yaw angle -5.393924373399045, pitch angle 90.55716047321258, roll angle 5.268312153970696.
root - INFO - Frame 169: Aruco ID 1 detected with distance 2.2963250708838125, yaw angle -5.4037275865399295, pitch angle 88.12234934541596, roll angle 9.632186477620515.
root - INFO - Frame 170: Aruco ID 1 detected with distance 2.3175285808523864, yaw angle -5.393441511692771, pitch angle 90.6603620987605, roll angle 1.008682651181739.
root - INFO - Frame 171: Aruco ID 1 detected with distance 2.3105223456626027, yaw angle -5.394607285378953, pitch angle 89.80151448664243, roll angle 11.192585124624738.
root - INFO - Frame 172: Aruco ID 1 detected with distance 2.3267132770728027, yaw angle -5.394417657904228, pitch angle 90.179395912326, roll angle 9.650156098493172.
root - INFO - Frame 173: Aruco ID 1 detected with distance 2.3268976461695967, yaw angle -5.39440253511853, pitch angle 90.18261591381741, roll angle 9.637867990745843.
root - INFO - Frame 174: Aruco ID 1 detected with distance 2.452372361640182, yaw angle -5.394872263062894, pitch angle 89.47093011771065, roll angle -0.06503760886470153.
root - INFO - Frame 175: Aruco ID 1 detected with distance 2.357613807208101, yaw angle -5.402908399409824, pitch angle 91.58347558566382, roll angle 0.7462320912213235.
root - INFO - Frame 176: Aruco ID 1 detected with distance 2.366795951842108, yaw angle -5.37278334528915, pitch angle 86.19863227229337, roll angle -16.787007860322408.
root - INFO - Frame 177: Aruco ID 1 detected with distance 2.294668025639769, yaw angle -5.3848430766973365, pitch angle 88.11212619221058, roll angle 9.62469537885292.
root - INFO - Frame 178: Aruco ID 1 detected with distance 2.452372361640182, yaw angle -5.394872263062894, pitch angle 89.47093011771065, roll angle -0.06503760886470153.
root - INFO - Frame 179: Aruco ID 1 detected with distance 2.19461494150867, yaw angle -5.376148176873585, pitch angle 89.1224913748759, roll angle 15.130796411113835.
root - INFO - Frame 180: Aruco ID 1 detected with distance 2.3310885049350656, yaw angle -5.384492300472942, pitch angle 89.61569998368614, roll angle 5.516685451607998.
root - INFO - Frame 181: Aruco ID 1 detected with distance 2.2964915129534456, yaw angle -5.381743442347329, pitch angle 86.81676524792071, roll angle -20.453155798654677.
root - INFO - Frame 182: Aruco ID 1 detected with distance 2.2282397511793595, yaw angle -5.394651161959246, pitch angle 89.32728089942097, roll angle 12.487450708336059.
root - INFO - Frame 183: Aruco ID 1 detected with distance 2.326531107569114, yaw angle -5.394432323915481, pitch angle 90.17618012500469, roll angle 9.662340403037087.
root - INFO - Frame 184: Aruco ID 1 detected with distance 2.324817208388829, yaw angle -5.394449464844769, pitch angle 90.14785228504361, roll angle 10.027314939293118.
root - INFO - Frame 185: Aruco ID 1 detected with distance 2.2595212652884276, yaw angle -5.385280709129802, pitch angle 89.68783116192922, roll angle 12.575518629047654.
