Frame ID,QR id,QR 2D,QR 3D
146,1,"[[825. 436.], [825. 470.], [795. 467.], [794. 436.]]","[2.3055311211902545, -5.714899493434245, 90.27915639880506, 16.967144810727348]"
148,1,"[[828. 455.], [828. 486.], [797. 483.], [796. 451.]]","[2.267551657468872, -5.620791337920167, 91.38982048724928, 14.221431974788683]"
149,1,"[[829. 458.], [830. 491.], [798. 487.], [798. 456.]]","[2.2643915099026155, -5.564392384818603, 91.03725780473964, 14.737745791020869]"
150,1,"[[830. 461.], [831. 494.], [799. 492.], [798. 460.]]","[2.2640002558071086, -5.535934614062512, 89.78492301728211, 12.263815616131597]"
151,1,"[[830. 465.], [830. 497.], [799. 495.], [799. 464.]]","[2.365833601280874, -5.535720557826835, 91.15305973891584, 9.584077204355324]"
152,1,"[[831. 466.], [831. 497.], [800. 497.], [799. 465.]]","[2.432263784856214, -5.506208069688483, 90.09736948332042, -6.795501518332318]"
153,1,"[[831. 468.], [831. 499.], [800. 497.], [799. 466.]]","[2.3340928384565487, -5.507351345700755, 90.97620048587652, 8.938026137294374]"
154,1,"[[832. 473.], [832. 504.], [801. 501.], [801. 471.]]","[2.3681926154225814, -5.460284367526953, 91.87765184738683, 9.123195915375222]"
155,1,"[[833. 478.], [834. 509.], [802. 508.], [801. 474.]]","[2.225977241918093, -5.418789854684832, 86.86397973669024, -26.314466889349106]"
156,1,"[[833. 478.], [834. 510.], [802. 509.], [801. 478.]]","[2.331582600205309, -5.4222322707514365, 89.62804643550203, 5.468710893522535]"
157,1,"[[834. 479.], [834. 511.], [802. 509.], [801. 478.]]","[2.290519439792815, -5.412858293447954, 90.91944113201266, 5.807644955650819]"
158,1,"[[834. 478.], [834. 510.], [802. 508.], [802. 477.]]","[2.330823223407662, -5.403375292554841, 91.45604557778316, 5.246201442936046]"
159,1,"[[834. 479.], [834. 510.], [802. 508.], [802. 477.]]","[2.326168400645179, -5.403410033323354, 91.8753692202683, 5.604339179623201]"
160,1,"[[833. 479.], [834. 511.], [802. 509.], [802. 478.]]","[2.332743964786826, -5.413234455169203, 90.54417039629033, 9.305051046293082]"
161,1,"[[834. 479.], [834. 511.], [802. 509.], [801. 478.]]","[2.290519439792815, -5.412858293447954, 90.91944113201266, 5.807644955650819]"
162,1,"[[834. 478.], [833. 510.], [802. 508.], [802. 477.]]","[2.3657546362773214, -5.412837740184642, 91.90862069372638, 5.314876860552207]"
163,1,"[[833. 478.], [834. 510.], [804. 510.], [801. 478.]]","[2.319457167264498, -5.404178879064602, 87.5518240864662, 13.48286341443409]"
164,1,"[[834. 479.], [834. 511.], [802. 510.], [802. 479.]]","[2.3646042254869335, -5.40275829503571, 91.00761632955114, -0.5703251839394062]"
165,1,"[[833. 478.], [835. 510.], [804. 510.], [801. 478.]]","[2.2926471454518196, -5.394646545712618, 86.96520433941937, 12.920410468340632]"
166,1,"[[834. 479.], [835. 510.], [803. 509.], [802. 477.]]","[2.2964915129534456, -5.381743442347329, 86.81676524792071, -20.453155798654677]"
167,1,"[[834. 479.], [834. 511.], [803. 509.], [802. 478.]]","[2.33104510200025, -5.394352645832015, 90.5318960635714, 9.307330650421392]"
168,1,"[[834. 480.], [834. 511.], [803. 510.], [802. 479.]]","[2.367050671282085, -5.393924373399045, 90.55716047321258, 5.268312153970696]"
169,1,"[[833. 478.], [835. 510.], [803. 509.], [801. 478.]]","[2.2963250708838125, -5.4037275865399295, 88.12234934541596, 9.632186477620515]"
170,1,"[[835. 478.], [834. 510.], [803. 509.], [801. 478.]]","[2.3175285808523864, -5.393441511692771, 90.6603620987605, 1.008682651181739]"
171,1,"[[834. 478.], [834. 511.], [803. 510.], [802. 478.]]","[2.3105223456626027, -5.394607285378953, 89.80151448664243, 11.192585124624738]"
172,1,"[[834. 479.], [834. 511.], [803. 510.], [802. 478.]]","[2.3267132770728027, -5.394417657904228, 90.179395912326, 9.650156098493172]"
173,1,"[[834. 478.], [834. 510.], [803. 509.], [802. 477.]]","[2.3268976461695967, -5.39440253511853, 90.18261591381741, 9.637867990745843]"
174,1,"[[833. 478.], [835. 510.], [803. 509.], [802. 478.]]","[2.452372361640182, -5.394872263062894, 89.47093011771065, -0.06503760886470153]"
175,1,"[[834. 480.], [834. 511.], [802. 510.], [802. 479.]]","[2.357613807208101, -5.402908399409824, 91.58347558566382, 0.7462320912213235]"
176,1,"[[834. 480.], [835. 510.], [804. 511.], [802. 479.]]","[2.366795951842108, -5.37278334528915, 86.19863227229337, -16.787007860322408]"
177,1,"[[834. 478.], [835. 510.], [804. 509.], [801. 478.]]","[2.294668025639769, -5.3848430766973365, 88.11212619221058, 9.62469537885292]"
178,1,"[[833. 478.], [835. 510.], [803. 509.], [802. 478.]]","[2.452372361640182, -5.394872263062894, 89.47093011771065, -0.06503760886470153]"
179,1,"[[834. 480.], [836. 514.], [803. 511.], [802. 479.]]","[2.19461494150867, -5.376148176873585, 89.1224913748759, 15.130796411113835]"
180,1,"[[834. 479.], [835. 511.], [803. 510.], [802. 479.]]","[2.3310885049350656, -5.384492300472942, 89.61569998368614, 5.516685451607998]"
181,1,"[[834. 479.], [835. 510.], [803. 509.], [802. 477.]]","[2.2964915129534456, -5.381743442347329, 86.81676524792071, -20.453155798654677]"
182,1,"[[834. 479.], [835. 512.], [803. 509.], [801. 478.]]","[2.2282397511793595, -5.394651161959246, 89.32728089942097, 12.487450708336059]"
183,1,"[[834. 480.], [834. 512.], [803. 511.], [802. 479.]]","[2.326531107569114, -5.394432323915481, 90.17618012500469, 9.662340403037087]"
184,1,"[[834. 478.], [834. 511.], [803. 509.], [802. 478.]]","[2.324817208388829, -5.394449464844769, 90.14785228504361, 10.027314939293118]"
185,1,"[[834. 478.], [835. 511.], [803. 509.], [802. 477.]]","[2.2595212652884276, -5.385280709129802, 89.68783116192922, 12.575518629047654]"
186,1,"[[834. 479.], [834. 511.], [803. 510.], [802. 478.]]","[2.3267132770728027, -5.394417657904228, 90.179395912326, 9.650156098493172]"
187,1,"[[834. 480.], [835. 511.], [804. 511.], [802. 479.]]","[2.4698851043717087, -5.37453429118969, 89.81899585230087, -3.8524180346978842]"
188,1,"[[833. 478.], [835. 510.], [803. 509.], [801. 478.]]","[2.2963250708838125, -5.4037275865399295, 88.12234934541596, 9.632186477620515]"
189,1,"[[834. 478.], [835. 510.], [804. 509.], [801. 478.]]","[2.294668025639769, -5.3848430766973365, 88.11212619221058, 9.62469537885292]"
190,1,"[[833. 479.], [835. 511.], [803. 510.], [802. 479.]]","[2.4523868200806804, -5.394770000464291, 89.4529542216948, 0.2674079168041932]"
191,1,"[[834. 479.], [835. 511.], [803. 510.], [802. 479.]]","[2.3310885049350656, -5.384492300472942, 89.61569998368614, 5.516685451607998]"
192,1,"[[833. 478.], [835. 510.], [804. 510.], [801. 478.]]","[2.2926471454518196, -5.394646545712618, 86.96520433941937, 12.920410468340632]"
193,1,"[[833. 478.], [835. 510.], [804. 510.], [801. 478.]]","[2.2926471454518196, -5.394646545712618, 86.96520433941937, 12.920410468340632]"
